target_context_tokens,target_updates,n,p_event,p_final,p_final_given_event,p_both_wrong,p_event_ok_final_wrong
1024,1,30.0,1.0,1.0,1.0,0.0,0.0
1024,2,30.0,1.0,1.0,1.0,0.0,0.0
1024,4,30.0,1.0,1.0,1.0,0.0,0.0
1024,8,30.0,1.0,1.0,1.0,0.0,0.0
1024,16,30.0,1.0,0.8,0.8,0.0,0.2
2048,1,30.0,1.0,1.0,1.0,0.0,0.0
2048,2,30.0,1.0,1.0,1.0,0.0,0.0
2048,4,30.0,1.0,1.0,1.0,0.0,0.0
2048,8,30.0,1.0,0.7333333333333333,0.7333333333333333,0.0,0.26666666666666666
2048,16,30.0,1.0,0.6333333333333333,0.6333333333333333,0.0,0.36666666666666664
4096,1,30.0,1.0,1.0,1.0,0.0,0.0
4096,2,30.0,1.0,0.9333333333333333,0.9333333333333333,0.0,0.06666666666666667
4096,4,30.0,1.0,1.0,1.0,0.0,0.0
4096,8,30.0,1.0,0.7666666666666667,0.7666666666666667,0.0,0.23333333333333334
4096,16,30.0,1.0,0.6,0.6,0.0,0.4
8192,1,30.0,1.0,1.0,1.0,0.0,0.0
8192,2,30.0,1.0,0.8,0.8,0.0,0.2
8192,4,30.0,1.0,0.9,0.9,0.0,0.1
8192,8,30.0,1.0,0.7333333333333333,0.7333333333333333,0.0,0.26666666666666666
8192,16,30.0,1.0,0.5333333333333333,0.5333333333333333,0.0,0.4666666666666667
16384,1,30.0,1.0,1.0,1.0,0.0,0.0
16384,2,30.0,1.0,0.6,0.6,0.0,0.4
16384,4,30.0,1.0,0.8,0.8,0.0,0.2
16384,8,30.0,1.0,0.7666666666666667,0.7666666666666667,0.0,0.23333333333333334
16384,16,30.0,1.0,0.6333333333333333,0.6333333333333333,0.0,0.36666666666666664
20480,1,30.0,1.0,1.0,1.0,0.0,0.0
20480,2,30.0,1.0,0.9333333333333333,0.9333333333333333,0.0,0.06666666666666667
20480,4,30.0,1.0,0.7333333333333333,0.7333333333333333,0.0,0.26666666666666666
20480,8,30.0,1.0,0.7,0.7,0.0,0.3
20480,16,30.0,1.0,0.5666666666666667,0.5666666666666667,0.0,0.43333333333333335
