task,haystack_type,target_context_tokens,num_options,target_position,target_updates,n,n_scored,accuracy,ci_lo,ci_hi,chance,acc_above_chance,mean_p_correct,wrong_confidence,brier,order_flip_rate,latency_p50_ms,latency_p95_ms,constructed_tokens,api_input_tokens,rate_api_error,rate_unsupported,rate_invalid
kv_lookup,essay,1024,4,0.1,0,30,30,1.0,1.0,1.0,0.25,1.0,1.0,,0.0,0.0,157.55,218.71499999999997,1002.5,1429.5,0.0,0.0,0.0
kv_lookup,essay,1024,4,0.5,0,30,30,1.0,1.0,1.0,0.25,1.0,1.0,,0.0,0.0,154.8,193.9249999999999,1002.5,1429.5,0.0,0.0,0.0
kv_lookup,essay,1024,4,0.9,0,30,30,1.0,1.0,1.0,0.25,1.0,1.0,,0.0,0.0,158.85,246.5549999999998,1002.5,1429.5,0.0,0.0,0.0
kv_lookup,essay,2048,4,0.1,0,30,30,1.0,1.0,1.0,0.25,1.0,1.0,,0.0,0.0,162.85,195.05,2024.3,2508.3,0.0,0.0,0.0
kv_lookup,essay,2048,4,0.5,0,30,30,1.0,1.0,1.0,0.25,1.0,1.0,,0.0,0.0,164.85,241.48999999999987,2024.3,2508.3,0.0,0.0,0.0
kv_lookup,essay,2048,4,0.9,0,30,30,1.0,1.0,1.0,0.25,1.0,1.0,,0.0,0.0,153.85,184.11999999999995,2024.3,2508.3,0.0,0.0,0.0
kv_lookup,essay,4096,4,0.1,0,30,30,1.0,1.0,1.0,0.25,1.0,1.0,,0.0,0.0,168.3,270.87999999999994,4081.3,4674.1,0.0,0.0,0.0
kv_lookup,essay,4096,4,0.5,0,30,30,1.0,1.0,1.0,0.25,1.0,1.0,,0.0,0.0,164.9,238.80499999999995,4081.3,4674.1,0.0,0.0,0.0
kv_lookup,essay,4096,4,0.9,0,30,30,1.0,1.0,1.0,0.25,1.0,1.0,,0.0,0.0,173.7,246.12999999999997,4081.3,4674.1,0.0,0.0,0.0
kv_lookup,essay,8192,4,0.1,0,30,30,1.0,1.0,1.0,0.25,1.0,1.0,,0.0,0.0,194.35000000000002,236.055,8167.6,8985.4,0.0,0.0,0.0
kv_lookup,essay,8192,4,0.5,0,30,30,1.0,1.0,1.0,0.25,1.0,1.0,,0.0,0.0,184.89999999999998,226.735,8167.6,8985.4,0.0,0.0,0.0
kv_lookup,essay,8192,4,0.9,0,30,30,1.0,1.0,1.0,0.25,1.0,1.0,,0.0,0.0,195.95,254.18999999999994,8167.6,8985.4,0.0,0.0,0.0
